#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0001,F1-1,S0001-100,F0002,Measured,SSMF_Telefonica,57.0,12.54,0,940.5,0.057,0.566237582,1,1,0,11.54,940.5,0.057,0.566237582,,ONN-X96,OLR,42,56,23,-8,-17,-21,43,8,32,-7,-20,-19,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0002,S0001-100,F1-1,F0001,Measured,SSMF_Telefonica,57.0,12.54,0,940.5,0.057,0.566237582,1,1,0,11.54,940.5,0.057,0.566237582,,OLR,ONN-X96,43,8,32,-7,-20,-19,42,56,23,-8,-17,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0005,F1-1,S0003-100,F0006,Measured,SSMF_Telefonica,33.81,7.4382,0,557.865,0.057,0.436097752,1,1,0,7.4382,557.865,0.057,0.436097752,,ONN-X96,OLR,42,56,23,-8,-17,-21,42,46,38,-7,-33,-9,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0006,S0003-100,F1-1,F0005,Measured,SSMF_Telefonica,33.81,7.4382,0,557.865,0.057,0.436097752,1,1,0,7.4382,557.865,0.057,0.436097752,,OLR,ONN-X96,42,46,38,-7,-33,-9,42,56,23,-8,-17,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0013,F1-1,S0014-100,F0014,Measured,SSMF_Telefonica,61.56,13.5432,0,1015.74,0.057,0.588451357,1,1,0,13.5432,1015.74,0.057,0.588451357,,ONN-X96,OLR,42,56,23,-8,-17,-21,42,30,33,-7,-45,-2,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0014,S0014-100,F1-1,F0013,Measured,SSMF_Telefonica,61.56,13.5432,0,1015.74,0.057,0.588451357,1,1,0,13.5432,1015.74,0.057,0.588451357,,OLR,ONN-X96,42,30,33,-7,-45,-2,42,56,23,-8,-17,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0015,S0014-100,TR11,F0016,Measured,SSMF_Telefonica,80.44,17.6968,0,1327.26,0.057,0.672662619,1,1,0,17.6968,1327.26,0.057,0.672662619,,OLR,ONN-X96,42,30,33,-7,-45,-2,42,10,53,-6,-49,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0016,TR11,S0014-100,F0015,Measured,SSMF_Telefonica,80.44,17.6968,0,1327.26,0.057,0.672662619,1,1,0,17.6968,1327.26,0.057,0.672662619,,ONN-X96,OLR,42,10,53,-6,-49,-54,42,30,33,-7,-45,-2,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0033,TR11,S0007-100,F0034,Measured,SSMF_Telefonica,66.7,14.674,0,1100.55,0.057,0.612525509,1,1,0,14.674,1100.55,0.057,0.612525509,,ONN-X96,OLR,42,10,53,-6,-49,-54,41,53,14,-6,-12,-50,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0034,S0007-100,TR11,F0033,Measured,SSMF_Telefonica,66.7,14.674,0,1100.55,0.057,0.612525509,1,1,0,14.674,1100.55,0.057,0.612525509,,OLR,ONN-X96,41,53,14,-6,-12,-50,42,10,53,-6,-49,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0037,TR11,S0008-100,F0038,Measured,SSMF_Telefonica,93.4,20.548,0,1541.1,0.057,0.724827565,1,1,0,20.548,1541.1,0.057,0.724827565,,ONN-X96,OLR,42,10,53,-6,-49,-54,41,59,57,-5,-41,-57,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0038,S0008-100,TR11,F0037,Measured,SSMF_Telefonica,93.4,20.548,0,1541.1,0.057,0.724827565,1,1,0,20.548,1541.1,0.057,0.724827565,,OLR,ONN-X96,41,59,57,-5,-41,-57,42,10,53,-6,-49,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0003,S0001-100,F2-1,F0004,Measured,SSMF_Telefonica,78.0,17.16,0,1287.0,0.057,0.662382064,1,1,0,16.31,1287.0,0.057,0.662382064,,OLR,ONN-X96,43,8,32,-7,-20,-19,43,9,56,-6,-31,-22,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0004,F2-1,S0001-100,F0003,Measured,SSMF_Telefonica,78.0,17.16,0,1287.0,0.057,0.662382064,1,1,0,16.31,1287.0,0.057,0.662382064,,ONN-X96,OLR,43,9,56,-6,-31,-22,43,8,32,-7,-20,-19,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0017,F2-1,S0002-100,F0018,Measured,SSMF_Telefonica,101.73,22.3806,0,1678.545,0.057,0.756459681,1,1,0,22.3806,1678.545,0.057,0.756459681,,ONN-X96,OLR,43,9,56,-6,-31,-22,42,49,4,-5,-28,-10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0018,S0002-100,F2-1,F0017,Measured,SSMF_Telefonica,101.73,22.3806,0,1678.545,0.057,0.756459681,1,1,0,22.3806,1678.545,0.057,0.756459681,,OLR,ONN-X96,42,49,4,-5,-28,-10,43,9,56,-6,-31,-22,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0021,F2-1,S0015-100,F0022,Measured,SSMF_Telefonica,61.2,13.464,0,1009.8,0.057,0.586728216,1,1,0,13.464,1009.8,0.057,0.586728216,,ONN-X96,OLR,43,9,56,-6,-31,-22,43,10,58,-5,-39,-34,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0022,S0015-100,F2-1,F0021,Measured,SSMF_Telefonica,61.2,13.464,0,1009.8,0.057,0.586728216,1,1,0,13.464,1009.8,0.057,0.586728216,,OLR,ONN-X96,43,10,58,-5,-39,-34,43,9,56,-6,-31,-22,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0011,S0004-100,F3-1,F0012,Measured,SSMF_Telefonica,64.45,14.179,0,1063.425,0.057,0.60210568,1,1,0,14.179,1063.425,0.057,0.60210568,,OLR,ONN-X96,42,29,30,-5,-13,-54,42,24,56,-4,-29,-14,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0012,F3-1,S0004-100,F0011,Measured,SSMF_Telefonica,64.45,14.179,0,1063.425,0.057,0.60210568,1,1,0,14.179,1063.425,0.057,0.60210568,,ONN-X96,OLR,42,24,56,-4,-29,-14,42,29,30,-5,-13,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0019,S0002-100,F3-1,F0020,Measured,SSMF_Telefonica,74.27,16.3394,0,1225.455,0.057,0.64635033,1,1,0,16.3394,1225.455,0.057,0.64635033,,OLR,ONN-X96,42,49,4,-5,-28,-10,42,24,56,-4,-29,-14,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0020,F3-1,S0002-100,F0019,Measured,SSMF_Telefonica,74.27,16.3394,0,1225.455,0.057,0.64635033,1,1,0,16.3394,1225.455,0.057,0.64635033,,ONN-X96,OLR,42,24,56,-4,-29,-14,42,49,4,-5,-28,-10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0029,F3-1,S0006-100,F0030,Measured,SSMF_Telefonica,60.6,13.332,0,999.9,0.057,0.583845013,1,1,0,13.332,999.9,0.057,0.583845013,,ONN-X96,OLR,42,24,56,-4,-29,-14,41,52,53,-4,-14,-59,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0030,S0006-100,F3-1,F0029,Measured,SSMF_Telefonica,60.6,13.332,0,999.9,0.057,0.583845013,1,1,0,13.332,999.9,0.057,0.583845013,,OLR,ONN-X96,41,52,53,-4,-14,-59,42,24,56,-4,-29,-14,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0027,S0017-100,TR13,F0028,Measured,SSMF_Telefonica,68.4,15.048,0,1128.6,0.057,0.620282193,1,1,0,15.048,1128.6,0.057,0.620282193,,OLR,ONN-X96,43,10,58,-3,-57,-52,43,15,7,-2,-59,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0028,TR13,S0017-100,F0027,Measured,SSMF_Telefonica,68.4,15.048,0,1128.6,0.057,0.620282193,1,1,0,15.048,1128.6,0.057,0.620282193,,ONN-X96,OLR,43,15,7,-2,-59,-54,43,10,58,-3,-57,-52,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0067,S0020-100,TR13,F0068,Measured,SSMF_Telefonica,48.43,10.6546,0,799.095,0.057,0.521937496,1,1,0,10.6546,799.095,0.057,0.521937496,,OLR,ONN-X96,42,24,56,-3,-24,-8,43,15,7,-2,-59,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0068,TR13,S0020-100,F0067,Measured,SSMF_Telefonica,48.43,10.6546,0,799.095,0.057,0.521937496,1,1,0,10.6546,799.095,0.057,0.521937496,,ONN-X96,OLR,43,15,7,-2,-59,-54,42,24,56,-3,-24,-8,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0097,S0029-100,TR13,F0098,Measured,SSMF_Telefonica,37.67,8.2874,0,621.555,0.057,0.460319182,1,1,0,8.2874,621.555,0.057,0.460319182,,OLR,ONN-X96,42,44,53,-2,-28,-60,43,15,7,-2,-59,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0098,TR13,S0029-100,F0097,Measured,SSMF_Telefonica,37.67,8.2874,0,621.555,0.057,0.460319182,1,1,0,8.2874,621.555,0.057,0.460319182,,ONN-X96,OLR,43,15,7,-2,-59,-54,42,44,53,-2,-28,-60,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0101,S0030-100,F13-1,F0102,Measured,SSMF_Telefonica,61.78,13.5916,0,1019.37,0.057,0.589501908,1,1,0,13.5916,1019.37,0.057,0.589501908,,OLR,ONN-X96,42,21,26,0,-34,-28,42,20,44,1,4,26,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0102,F13-1,S0030-100,F0101,Measured,SSMF_Telefonica,61.78,13.5916,0,1019.37,0.057,0.589501908,1,1,0,13.5916,1019.37,0.057,0.589501908,,ONN-X96,OLR,42,20,44,1,4,26,42,21,26,0,-34,-28,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0107,F13-1,S0032-100,F0108,Measured,SSMF_Telefonica,65.31,14.3682,0,1077.615,0.057,0.606109519,1,1,0,14.3682,1077.615,0.057,0.606109519,,ONN-X96,OLR,42,20,44,1,4,26,42,5,15,1,30,5,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0108,S0032-100,F13-1,F0107,Measured,SSMF_Telefonica,65.31,14.3682,0,1077.615,0.057,0.606109519,1,1,0,14.3682,1077.615,0.057,0.606109519,,OLR,ONN-X96,42,5,15,1,30,5,42,20,44,1,4,26,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0113,F13-1,S0034-100,F0114,Measured,SSMF_Telefonica,62.29,13.7038,0,1027.785,0.057,0.591930105,1,1,0,13.7038,1027.785,0.057,0.591930105,,ONN-X96,OLR,42,20,44,1,4,26,41,56,4,0,51,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0114,S0034-100,F13-1,F0113,Measured,SSMF_Telefonica,62.29,13.7038,0,1027.785,0.057,0.591930105,1,1,0,13.7038,1027.785,0.057,0.591930105,,OLR,ONN-X96,41,56,4,0,51,36,42,20,44,1,4,26,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0117,F13-1,S0035-100,F0118,Measured,SSMF_Telefonica,61.56,13.5432,0,1015.74,0.057,0.588451357,1,1,0,13.5432,1015.74,0.057,0.588451357,,ONN-X96,OLR,42,20,44,1,4,26,42,0,18,0,-2,-38,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0118,S0035-100,F13-1,F0117,Measured,SSMF_Telefonica,61.56,13.5432,0,1015.74,0.057,0.588451357,1,1,0,13.5432,1015.74,0.057,0.588451357,,OLR,ONN-X96,42,0,18,0,-2,-38,42,20,44,1,4,26,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0089,S0027-100,TR14,F0090,Measured,SSMF_Telefonica,53.9,11.858,0,889.35,0.057,0.550624645,1,1,0,11.858,889.35,0.057,0.550624645,,OLR,ONN-X96,41,56,25,-2,-7,-37,42,20,2,-2,-4,-46,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0090,TR14,S0027-100,F0089,Measured,SSMF_Telefonica,53.9,11.858,0,889.35,0.057,0.550624645,1,1,0,11.858,889.35,0.057,0.550624645,,ONN-X96,OLR,42,20,2,-2,-4,-46,41,56,25,-2,-7,-37,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0095,TR14,S0029-100,F0096,Measured,SSMF_Telefonica,63.33,13.9326,0,1044.945,0.057,0.596851112,1,1,0,13.9326,1044.945,0.057,0.596851112,,ONN-X96,OLR,42,20,2,-2,-4,-46,42,44,53,-2,-28,-60,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0096,S0029-100,TR14,F0095,Measured,SSMF_Telefonica,63.33,13.9326,0,1044.945,0.057,0.596851112,1,1,0,13.9326,1044.945,0.057,0.596851112,,OLR,ONN-X96,42,44,53,-2,-28,-60,42,20,2,-2,-4,-46,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0099,TR14,S0030-100,F0100,Measured,SSMF_Telefonica,92.22,20.2884,0,1521.63,0.057,0.720234336,1,1,0,20.2884,1521.63,0.057,0.720234336,,ONN-X96,OLR,42,20,2,-2,-4,-46,42,21,26,0,-34,-28,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0100,S0030-100,TR14,F0099,Measured,SSMF_Telefonica,92.22,20.2884,0,1521.63,0.057,0.720234336,1,1,0,20.2884,1521.63,0.057,0.720234336,,OLR,ONN-X96,42,21,26,0,-34,-28,42,20,2,-2,-4,-46,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0103,TR14,S0031-100,F0104,Measured,SSMF_Telefonica,62.37,13.7214,0,1029.105,0.057,0.592310096,1,1,0,13.7214,1029.105,0.057,0.592310096,,ONN-X96,OLR,42,20,2,-2,-4,-46,41,58,32,-1,-27,-13,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0104,S0031-100,TR14,F0103,Measured,SSMF_Telefonica,62.37,13.7214,0,1029.105,0.057,0.592310096,1,1,0,13.7214,1029.105,0.057,0.592310096,,OLR,ONN-X96,41,58,32,-1,-27,-13,42,20,2,-2,-4,-46,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0111,S0033-100,TR4,F0112,Measured,SSMF_Telefonica,58.85,12.947,0,971.025,0.057,0.575353152,1,1,0,12.947,971.025,0.057,0.575353152,,OLR,ONN-X96,41,51,7,1,45,46,41,31,57,2,11,55,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0112,TR4,S0033-100,F0111,Measured,SSMF_Telefonica,58.85,12.947,0,971.025,0.057,0.575353152,1,1,0,12.947,971.025,0.057,0.575353152,,ONN-X96,OLR,41,31,57,2,11,55,41,51,7,1,45,46,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0121,TR4,TR3,F0122,Measured,SSMF_Telefonica,84.0,18.48,0,1386.0,0.057,0.687386354,1,1,0,18.48,1386.0,0.057,0.687386354,,ONN-X96,ONN-X96,41,31,57,2,11,55,41,31,57,1,11,5,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0122,TR3,TR4,F0121,Measured,SSMF_Telefonica,84.0,18.48,0,1386.0,0.057,0.687386354,1,1,0,18.48,1386.0,0.057,0.687386354,,ONN-X96,ONN-X96,41,31,57,1,11,5,41,31,57,2,11,55,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0123,TR4,S0036-100,F0124,Measured,SSMF_Telefonica,61.97,13.6334,0,1022.505,0.057,0.590407698,1,1,0,13.6334,1022.505,0.057,0.590407698,,ONN-X96,OLR,41,31,57,2,11,55,41,15,33,1,28,40,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0124,S0036-100,TR4,F0123,Measured,SSMF_Telefonica,61.97,13.6334,0,1022.505,0.057,0.590407698,1,1,0,13.6334,1022.505,0.057,0.590407698,,OLR,ONN-X96,41,15,33,1,28,40,41,31,57,2,11,55,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0115,S0034-100,TR3,F0116,Measured,SSMF_Telefonica,82.71,18.1962,0,1364.715,0.057,0.682087787,1,1,0,18.1962,1364.715,0.057,0.682087787,,OLR,ONN-X96,41,56,4,0,51,36,41,31,57,1,11,5,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0116,TR3,S0034-100,F0115,Measured,SSMF_Telefonica,82.71,18.1962,0,1364.715,0.057,0.682087787,1,1,0,18.1962,1364.715,0.057,0.682087787,,ONN-X96,OLR,41,31,57,1,11,5,41,56,4,0,51,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0129,TR3,S0038-100,F0130,Measured,SSMF_Telefonica,60.31,13.2682,0,995.115,0.057,0.582446349,1,1,0,13.2682,995.115,0.057,0.582446349,,ONN-X96,OLR,41,31,57,1,11,5,41,9,28,0,34,58,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0130,S0038-100,TR3,F0129,Measured,SSMF_Telefonica,60.31,13.2682,0,995.115,0.057,0.582446349,1,1,0,13.2682,995.115,0.057,0.582446349,,OLR,ONN-X96,41,9,28,0,34,58,41,31,57,1,11,5,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0127,S0037-100,TR6,F0128,Measured,SSMF_Telefonica,38.44,8.4568,0,634.26,0.057,0.464999999,1,1,0,8.4568,634.26,0.057,0.464999999,,OLR,ONN-X96,41,3,23,0,44,57,40,40,23,0,9,18,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
